Items,Prices,Discounts,URL,Photo
"Lenovo IdeaPad 3 15IML05 Computer portatile 39,6 cm (15.6"") Full HD Intel® Core™ i5 8 GB DDR4-SDRAM 512 GB SSD NVIDIA® GeForce® MX130 Wi-Fi 5 (802.11ac) Windows 10 Home Grigio","€ 599,90",20,https://www.unieuro.it/online/Notebook/3-15IML05-pidLNV81WB00TWIX,https://static1.unieuro.it/medias/sys_master/root/h5c/hfd/33925980258334/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-2f906ba80f72ef41574b53ede64d15f7-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"Apple MacBook Pro 14"" chip M1 Pro 8‑core CPU 14‑core GPU 512GB SSD Grigio Siderale 96 W","€ 2099,00",11,https://www.unieuro.it/online/MacBook/MacBook-Pro-14-chip-M1-Pro-8core-CPU-14core-GPU-512GB-SSD-Grigio-Siderale-pidAPLMKGP3TACTO,https://static1.unieuro.it/medias/sys_master/root/ha6/h4d/34116013457438/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-6e285b1fabc1f8f6efd002ed2c6cc2dc-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"Samsung XE340XDAA-EXP Chromebook 35,6 cm (14"") HD Intel® Celeron® N 4 GB LPDDR4x-SDRAM 64 GB eMMC Wi-Fi 6 (802.11ax) Chrome OS Argento","€ 249,90",37,https://www.unieuro.it/online/Notebook/XE340XDAA-EXP-pidSAMXE340XDAKA1IT,https://static1.unieuro.it/medias/sys_master/root/h41/hf4/34183591034910/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-cbfcba4368ff4b134c372d366d8b5bbe-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"HP 17-cn1000nl i5-1155G7 Computer portatile 43,9 cm (17.3"") Full HD Intel® Core™ i5 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 11 Home Argento","€ 799,90",33,https://www.unieuro.it/online/Notebook/17-cn1000nl-pidHEW17CN1000NL,https://static1.unieuro.it/medias/sys_master/root/h8d/hc3/33618489442334/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-fbbebef4eb928d63b140658bb1ff0b02-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"HP 15s-fq2004nlw11 Computer portatile 39,6 cm (15.6"") Full HD Intel® Core™ i5 di undicesima generazione 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 11 Home Argento","€ 499,90",35,https://www.unieuro.it/online/Notebook/15s-fq2004nlw11-pidHEW15SFQ2004NLW11,https://static1.unieuro.it/medias/sys_master/root/h7f/h6b/33424180576286/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-02d242f1485eb9d3d70ade20603a1033-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"Lenovo V15 Computer portatile 39,6 cm (15.6"") Full HD Intel® Core™ i5 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home Grigio","€ 449,00",16,https://www.unieuro.it/online/Notebook/V15-pidLNV82C50075IX,https://static1.unieuro.it/medias/sys_master/root/h96/hba/33424197812254/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-94eb87571b7189c6f9f8c788e7747531-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"Apple MacBook Air 13"" (Chip M1 con GPU 8-core, 512GB SSD, 8GB RAM) - Grigio Siderale (2020)","€ 1199,00",35,https://www.unieuro.it/online/MacBook/MacBook-Air-13-Chip-M1-con-GPU-8-core-512GB-SSD-8GB-RAM---Grigio-Siderale-2020-pidAPLMGN73TA,https://static1.unieuro.it/medias/sys_master/root/h9b/ha7/33083550826526/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-a45f7c2ff7e8a127b6e75263a61a0272-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"Lenovo V V15 Computer portatile 39,6 cm (15.6"") Full HD AMD Ryzen™ 5 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Pro Grigio","€ 449,00",27,https://www.unieuro.it/online/Notebook/V15-pidLNV82C70006IX,https://static1.unieuro.it/medias/sys_master/root/h13/h0a/33424247816222/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-6155522800b31851d0f6543856bbc13d-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"ASUS F515JA-EJ1879W Computer portatile 39,6 cm (15.6"") Full HD Intel® Core™ i7 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 11 Home Argento","€ 649,90",30,https://www.unieuro.it/online/Notebook/F515JA-EJ1879W-pidASUF515JAEJ1879W,https://static1.unieuro.it/medias/sys_master/root/h9b/hc8/33424192307230/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-ed486043da5ea67206cc1fe74b28ee1e-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
"Lenovo IdeaPad 3 15ALC6 Computer portatile 39,6 cm (15.6"") Full HD AMD Ryzen™ 5 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) Windows 11 Home Grigio","€ 449,90",24,https://www.unieuro.it/online/Notebook/3-15ALC6-pidLNV82KU00WPIX,https://static1.unieuro.it/medias/sys_master/root/h7a/h70/33650699862046/-api-rest-00ed29448a7522f610cac04d7b9ea7e0-assets-f7d90d79c4e704ee886ff19e206c6d7f-preview-sgmConversionBaseFormat-sgmSearchFormat.jpg
